"Student_ID","DBMS_Present","DBMS_Absent","DM_Present","DM_Absent","EAD_Present","EAD_Absent","EEA_Present","EEA_Absent","ES_Present","ES_Absent","PQT_Present","PQT_Absent","Attended_Classes","Absentee_Count","Risk_Label"
"5076","44","6","40","10","38","12","46","4","36","14","31","19","235","65","1"
"5077","46","4","40","10","34","16","44","6","41","9","33","17","238","62","1"
"5078","48","2","41","9","38","12","43","7","42","8","30","20","242","58","1"
"5079","48","2","43","7","36","14","48","2","38","12","29","21","242","58","1"
"5080","48","2","42","8","34","16","42","8","36","14","32","18","234","66","1"
"5081","48","2","44","6","37","13","48","2","38","12","30","20","245","55","1"
"5082","48","2","42","8","35","15","44","6","40","10","30","20","239","61","1"
"5083","46","4","42","8","34","16","46","4","36","14","32","18","236","64","1"
"5084","48","2","43","7","36","14","48","2","39","11","29","21","243","57","1"
"5085","47","3","42","8","37","13","44","6","38","12","28","22","236","64","1"
"5086","50","0","40","10","38","12","47","3","38","12","27","23","240","60","1"
"5087","46","4","40","10","38","12","48","2","42","8","30","20","244","56","1"
"5088","46","4","41","9","35","15","43","7","40","10","27","23","232","68","1"
"5089","46","4","40","10","36","14","44","6","40","10","33","17","239","61","1"
"5090","48","2","46","4","37","13","44","6","40","10","28","22","243","57","1"
"5091","46","4","44","6","33","17","44","6","40","10","29","21","236","64","1"
"5092","48","2","41","9","36","14","46","4","40","10","32","18","243","57","1"
"5093","46","4","40","10","34","16","47","3","41","9","28","22","236","64","1"
"5094","49","1","40","10","37","13","44","6","37","13","31","19","238","62","1"
"5095","46","4","40","10","35","15","43","7","36","14","27","23","227","73","1"
"5096","47","3","40","10","34","16","48","2","36","14","32","18","237","63","1"
"5097","49","1","42","8","34","16","42","8","41","9","28","22","236","64","1"
"5098","44","6","40","10","37","13","45","5","42","8","32","18","240","60","1"
"5099","48","2","40","10","35","15","44","6","36","14","32","18","235","65","1"
"5100","44","6","44","6","36","14","42","8","40","10","27","23","233","67","1"
"5101","47","3","41","9","38","12","47","3","38","12","28","22","239","61","1"
"5102","45","5","40","10","33","17","44","6","38","12","32","18","232","68","1"
"5103","48","2","42","8","35","15","48","2","42","8","31","19","246","54","1"
"5104","50","0","42","8","34","16","45","5","42","8","30","20","243","57","1"
"5105","47","3","46","4","32","18","44","6","40","10","32","18","241","59","1"
"5106","45","5","42","8","34","16","46","4","38","12","30","20","235","65","1"
"5107","44","6","42","8","33","17","46","4","39","11","28","22","232","68","1"
"5108","44","6","42","8","38","12","44","6","39","11","30","20","237","63","1"
"5109","48","2","44","6","38","12","48","2","38","12","31","19","247","53","1"
"5110","44","6","46","4","33","17","44","6","38","12","30","20","235","65","1"
"5111","44","6","42","8","38","12","44","6","39","11","32","18","239","61","1"
"5112","50","0","44","6","34","16","44","6","36","14","29","21","237","63","1"
"5113","46","4","43","7","32","18","44","6","40","10","29","21","234","66","1"
"5114","46","4","44","6","34","16","45","5","38","12","33","17","240","60","1"
"5115","50","0","40","10","35","15","46","4","38","12","30","20","239","61","1"
"5116","44","6","40","10","37","13","46","4","41","9","28","22","236","64","1"
"5117","49","1","40","10","37","13","46","4","40","10","28","22","240","60","1"
"5118","44","6","42","8","36","14","48","2","39","11","30","20","239","61","1"
"5119","44","6","40","10","38","12","47","3","38","12","28","22","235","65","1"
"5120","46","4","40","10","34","16","48","2","39","11","32","18","239","61","1"
"5121","48","2","40","10","34","16","47","3","38","12","30","20","237","63","1"
"5122","45","5","44","6","34","16","44","6","42","8","32","18","241","59","1"
"5123","48","2","46","4","33","17","48","2","36","14","31","19","242","58","1"
"5124","50","0","43","7","36","14","47","3","37","13","28","22","241","59","1"
"5125","48","2","42","8","34","16","47","3","42","8","32","18","245","55","1"
"5126","44","6","42","8","33","17","47","3","38","12","30","20","234","66","1"
"5127","45","5","43","7","36","14","43","7","38","12","28","22","233","67","1"
"5128","50","0","40","10","38","12","46","4","38","12","31","19","243","57","1"
"5129","46","4","44","6","35","15","44","6","40","10","32","18","241","59","1"
"5130","48","2","40","10","38","12","44","6","38","12","27","23","235","65","1"
"5131","47","3","40","10","32","18","44","6","40","10","27","23","230","70","1"
"5132","48","2","43","7","36","14","48","2","42","8","28","22","245","55","1"
"5133","50","0","40","10","36","14","42","8","36","14","32","18","236","64","1"
"5134","50","0","45","5","36","14","43","7","40","10","32","18","246","54","1"
"5135","50","0","44","6","38","12","48","2","40","10","33","17","253","47","1"
"5136","46","4","46","4","36","14","42","8","38","12","27","23","235","65","1"
"5137","48","2","42","8","32","18","46","4","41","9","32","18","241","59","1"
"5138","47","3","40","10","35","15","46","4","40","10","33","17","241","59","1"
"5139","45","5","42","8","37","13","45","5","36","14","30","20","235","65","1"
"5140","48","2","40","10","37","13","43","7","36","14","28","22","232","68","1"
"5141","48","2","43","7","38","12","48","2","41","9","32","18","250","50","1"
"5142","46","4","43","7","38","12","43","7","39","11","28","22","237","63","1"
"5143","49","1","45","5","38","12","48","2","40","10","28","22","248","52","1"
"5144","50","0","43","7","37","13","44","6","40","10","28","22","242","58","1"
"5145","48","2","40","10","36","14","46","4","36","14","28","22","234","66","1"
"5146","46","4","42","8","36","14","48","2","39","11","32","18","243","57","1"
"5147","48","2","43","7","38","12","48","2","41","9","33","17","251","49","1"
"5148","49","1","41","9","38","12","48","2","40","10","30","20","246","54","1"
"5149","50","0","44","6","32","18","46","4","36","14","28","22","236","64","1"
"5150","45","5","44","6","36","14","48","2","42","8","32","18","247","53","1"
"5151","49","1","46","4","37","13","47","3","40","10","27","23","246","54","1"
"5152","47","3","40","10","34","16","43","7","40","10","28","22","232","68","1"
"5153","48","2","42","8","36","14","44","6","39","11","30","20","239","61","1"
"5154","44","6","43","7","36","14","48","2","36","14","30","20","237","63","1"
"5155","44","6","42","8","38","12","44","6","40","10","27","23","235","65","1"
"5156","48","2","42","8","38","12","48","2","40","10","32","18","248","52","1"
"5157","49","1","45","5","34","16","47","3","36","14","27","23","238","62","1"
"5158","46","4","42","8","32","18","46","4","41","9","31","19","238","62","1"
"5159","50","0","42","8","33","17","47","3","41","9","30","20","243","57","1"
"5160","50","0","46","4","32","18","46","4","40","10","30","20","244","56","1"
"5161","50","0","44","6","34","16","46","4","36","14","28","22","238","62","1"
"5162","48","2","46","4","38","12","45","5","37","13","30","20","244","56","1"
"5163","46","4","40","10","38","12","43","7","38","12","32","18","237","63","1"
"5164","45","5","45","5","36","14","45","5","39","11","32","18","242","58","1"
"5165","44","6","45","5","35","15","46","4","40","10","32","18","242","58","1"
"5166","48","2","40","10","36","14","46","4","36","14","28","22","234","66","1"
"5167","48","2","44","6","33","17","45","5","40","10","29","21","239","61","1"
"5168","46","4","42","8","34","16","47","3","36","14","28","22","233","67","1"
"5169","47","3","42","8","36","14","47","3","40","10","30","20","242","58","1"
"5170","46","4","42","8","37","13","44","6","42","8","30","20","241","59","1"
"5171","44","6","40","10","32","18","44","6","36","14","29","21","225","75","1"
"5172","47","3","42","8","38","12","44","6","36","14","33","17","240","60","1"
"5173","44","6","45","5","34","16","44","6","38","12","30","20","235","65","1"
"5174","44","6","40","10","36","14","46","4","37","13","32","18","235","65","1"
"5175","50","0","42","8","34","16","44","6","37","13","31","19","238","62","1"
"5176","48","2","44","6","32","18","44","6","36","14","31","19","235","65","1"
"5177","45","5","43","7","32","18","46","4","42","8","33","17","241","59","1"
"5178","45","5","41","9","32","18","43","7","37","13","32","18","230","70","1"
"5179","46","4","44","6","37","13","44","6","42","8","30","20","243","57","1"
"5180","48","2","44","6","38","12","46","4","36","14","28","22","240","60","1"
"5181","48","2","41","9","38","12","45","5","40","10","29","21","241","59","1"
"5182","47","3","44","6","38","12","46","4","41","9","32","18","248","52","1"
"5183","48","2","44","6","36","14","44","6","42","8","31","19","245","55","1"
"5184","50","0","45","5","35","15","44","6","40","10","30","20","244","56","1"
"5185","46","4","40","10","36","14","44","6","42","8","28","22","236","64","1"
"5186","47","3","40","10","34","16","47","3","40","10","30","20","238","62","1"
"5187","44","6","42","8","32","18","46","4","37","13","28","22","229","71","1"
"5188","45","5","42","8","34","16","44","6","42","8","28","22","235","65","1"
"5189","49","1","41","9","37","13","44","6","40","10","32","18","243","57","1"
"5190","46","4","42","8","34","16","48","2","42","8","32","18","244","56","1"
"5191","44","6","42","8","32","18","44","6","37","13","32","18","231","69","1"
"5192","47","3","46","4","34","16","45","5","40","10","30","20","242","58","1"
"5193","50","0","40","10","32","18","44","6","40","10","30","20","236","64","1"
"5194","50","0","44","6","34","16","46","4","38","12","28","22","240","60","1"
"5195","46","4","40","10","38","12","47","3","40","10","28","22","239","61","1"
"5196","48","2","41","9","35","15","42","8","39","11","28","22","233","67","1"
"5197","50","0","42","8","32","18","44","6","42","8","28","22","238","62","1"
"5198","46","4","46","4","37","13","48","2","40","10","32","18","249","51","1"
"5199","44","6","42","8","34","16","44","6","37","13","30","20","231","69","1"
"5200","46","4","42","8","36","14","42","8","40","10","33","17","239","61","1"
"5201","44","6","40","10","34","16","42","8","40","10","32","18","232","68","1"
"5202","50","0","42","8","36","14","47","3","40","10","31","19","246","54","1"
"5203","46","4","44","6","35","15","46","4","42","8","30","20","243","57","1"
"5204","45","5","44","6","34","16","48","2","41","9","31","19","243","57","1"
"5205","46","4","44","6","34","16","47","3","38","12","28","22","237","63","1"
"5206","50","0","42","8","34","16","47","3","36","14","29","21","238","62","1"
"5207","48","2","44","6","34","16","45","5","38","12","30","20","239","61","1"
"5208","48","2","43","7","36","14","48","2","39","11","32","18","246","54","1"
"5209","46","4","40","10","36","14","43","7","41","9","32","18","238","62","1"
"5210","49","1","46","4","37","13","42","8","36","14","29","21","239","61","1"
"5211","45","5","42","8","34","16","48","2","38","12","30","20","237","63","1"
"5212","48","2","46","4","33","17","43","7","42","8","28","22","240","60","1"
"5213","44","6","44","6","35","15","43","7","38","12","29","21","233","67","1"
"5214","48","2","44","6","32","18","44","6","40","10","28","22","236","64","1"
"5215","45","5","43","7","36","14","44","6","36","14","32","18","236","64","1"
"5216","48","2","44","6","36","14","44","6","36","14","32","18","240","60","1"
"5217","50","0","40","10","35","15","44","6","38","12","28","22","235","65","1"
"5218","48","2","44","6","32","18","44","6","36","14","32","18","236","64","1"
"5219","46","4","40","10","38","12","46","4","42","8","32","18","244","56","1"
"5220","49","1","44","6","37","13","46","4","39","11","32","18","247","53","1"
"5221","46","4","45","5","36","14","42","8","36","14","30","20","235","65","1"
"5222","48","2","40","10","33","17","44","6","37","13","28","22","230","70","1"
"5223","45","5","40","10","36","14","46","4","38","12","33","17","238","62","1"
"5224","46","4","41","9","32","18","48","2","40","10","31","19","238","62","1"
"5225","46","4","45","5","34","16","48","2","38","12","32","18","243","57","1"
"5226","47","3","40","10","36","14","48","2","42","8","30","20","243","57","1"
"5227","45","5","42","8","32","18","44","6","38","12","32","18","233","67","1"
"5228","44","6","43","7","35","15","48","2","40","10","28","22","238","62","1"
"5229","47","3","44","6","36","14","46","4","42","8","29","21","244","56","1"
"5230","44","6","42","8","37","13","48","2","42","8","27","23","240","60","1"
"5231","46","4","42","8","34","16","48","2","37","13","32","18","239","61","1"
"5232","48","2","42","8","34","16","45","5","38","12","28","22","235","65","1"
"5233","46","4","44","6","32","18","48","2","37","13","30","20","237","63","1"
"5234","44","6","44","6","36","14","43","7","38","12","30","20","235","65","1"
"5235","47","3","42","8","36","14","44","6","42","8","31","19","242","58","1"
"5236","46","4","40","10","38","12","44","6","38","12","29","21","235","65","1"
"5237","48","2","40","10","35","15","48","2","37","13","30","20","238","62","1"
"5238","48","2","42","8","34","16","46","4","36","14","30","20","236","64","1"
"5239","50","0","42","8","37","13","48","2","41","9","32","18","250","50","1"
"5240","46","4","42","8","34","16","42","8","41","9","31","19","236","64","1"
"5241","46","4","42","8","33","17","45","5","42","8","32","18","240","60","1"
"5242","46","4","42","8","34","16","48","2","36","14","33","17","239","61","1"
"5243","48","2","44","6","32","18","48","2","38","12","27","23","237","63","1"
"5244","49","1","40","10","38","12","46","4","39","11","28","22","240","60","1"
"5245","50","0","40","10","34","16","46","4","38","12","30","20","238","62","1"
"5246","46","4","43","7","35","15","46","4","38","12","32","18","240","60","1"
"5247","49","1","42","8","36","14","46","4","40","10","28","22","241","59","1"
"5248","48","2","42","8","36","14","48","2","36","14","33","17","243","57","1"
"5249","44","6","44","6","32","18","48","2","36","14","32","18","236","64","1"
"5250","44","6","44","6","34","16","44","6","40","10","30","20","236","64","1"
"5251","41","9","35","15","33","17","44","6","38","12","32","18","223","77","1"
"5252","38","12","38","12","33","17","39","11","36","14","28","22","212","88","1"
"5253","42","8","36","14","32","18","44","6","36","14","33","17","223","77","1"
"5254","40","10","38","12","32","18","44","6","35","15","33","17","222","78","1"
"5255","43","7","39","11","32","18","42","8","35","15","28","22","219","81","1"
"5256","40","10","36","14","37","13","38","12","39","11","28","22","218","82","1"
"5257","38","12","41","9","32","18","42","8","38","12","34","16","225","75","1"
"5258","40","10","40","10","36","14","41","9","40","10","32","18","229","71","1"
"5259","42","8","40","10","37","13","42","8","38","12","32","18","231","69","1"
"5260","38","12","38","12","34","16","42","8","40","10","32","18","224","76","1"
"5261","38","12","38","12","36","14","44","6","40","10","32","18","228","72","1"
"5262","43","7","38","12","34","16","43","7","36","14","34","16","228","72","1"
"5263","38","12","40","10","34","16","40","10","35","15","32","18","219","81","1"
"5264","38","12","39","11","31","19","42","8","38","12","28","22","216","84","1"
"5265","42","8","37","13","34","16","40","10","36","14","30","20","219","81","1"
"5266","43","7","38","12","37","13","40","10","36","14","30","20","224","76","1"
"5267","39","11","40","10","34","16","41","9","36","14","32","18","222","78","1"
"5268","40","10","35","15","35","15","43","7","38","12","34","16","225","75","1"
"5269","42","8","38","12","33","17","38","12","40","10","30","20","221","79","1"
"5270","38","12","35","15","34","16","40","10","34","16","32","18","213","87","1"
"5271","38","12","38","12","36","14","39","11","35","15","31","19","217","83","1"
"5272","38","12","40","10","34","16","42","8","35","15","30","20","219","81","1"
"5273","39","11","38","12","34","16","38","12","36","14","28","22","213","87","1"
"5274","41","9","40","10","31","19","40","10","40","10","30","20","222","78","1"
"5275","42","8","38","12","37","13","42","8","35","15","28","22","222","78","1"
"5276","39","11","36","14","34","16","42","8","37","13","32","18","220","80","1"
"5277","42","8","40","10","31","19","42","8","34","16","34","16","223","77","1"
"5278","40","10","37","13","34","16","38","12","36","14","28","22","213","87","1"
"5279","38","12","40","10","31","19","44","6","38","12","34","16","225","75","1"
"5280","39","11","40","10","34","16","38","12","34","16","32","18","217","83","1"
"5281","41","9","38","12","32","18","40","10","38","12","28","22","217","83","1"
"5282","42","8","41","9","33","17","44","6","38","12","28","22","226","74","1"
"5283","42","8","35","15","35","15","41","9","37","13","32","18","222","78","1"
"5284","40","10","40","10","37","13","41","9","36","14","33","17","227","73","1"
"5285","41","9","37","13","36","14","38","12","35","15","30","20","217","83","1"
"5286","42","8","36","14","33","17","41","9","36","14","29","21","217","83","1"
"5287","42","8","38","12","32","18","41","9","36","14","31","19","220","80","1"
"5288","41","9","41","9","31","19","40","10","34","16","33","17","220","80","1"
"5289","42","8","35","15","36","14","38","12","34","16","34","16","219","81","1"
"5290","41","9","40","10","36","14","43","7","39","11","32","18","231","69","1"
"5291","40","10","36","14","32","18","39","11","35","15","32","18","214","86","1"
"5292","38","12","38","12","36","14","42","8","40","10","30","20","224","76","1"
"5293","40","10","36","14","34","16","44","6","38","12","30","20","222","78","1"
"5294","38","12","38","12","36","14","43","7","40","10","32","18","227","73","1"
"5295","42","8","38","12","36","14","41","9","34","16","28","22","219","81","1"
"5296","38","12","38","12","37","13","40","10","36","14","32","18","221","79","1"
"5297","40","10","38","12","34","16","40","10","38","12","32","18","222","78","1"
"5298","41","9","37","13","31","19","41","9","36","14","28","22","214","86","1"
"5299","42","8","37","13","34","16","38","12","35","15","34","16","220","80","1"
"5300","42","8","36","14","34","16","44","6","36","14","30","20","222","78","1"
"5301","41","9","35","15","32","18","42","8","37","13","34","16","221","79","1"
"5302","42","8","38","12","35","15","40","10","38","12","29","21","222","78","1"
"5303","42","8","35","15","36","14","42","8","35","15","34","16","224","76","1"
"5304","40","10","40","10","36","14","39","11","34","16","28","22","217","83","1"
"5305","40","10","40","10","36","14","44","6","38","12","32","18","230","70","1"
"5306","37","13","37","13","32","18","39","11","35","15","30","20","210","90","1"
"5307","42","8","36","14","36","14","44","6","36","14","30","20","224","76","1"
"5308","40","10","37","13","31","19","43","7","38","12","34","16","223","77","1"
"5309","42","8","38","12","33","17","38","12","34","16","29","21","214","86","1"
"5310","42","8","40","10","32","18","42","8","36","14","28","22","220","80","1"
"5311","43","7","40","10","31","19","44","6","38","12","30","20","226","74","1"
"5312","38","12","37","13","36","14","42","8","34","16","32","18","219","81","1"
"5313","39","11","40","10","37","13","43","7","39","11","30","20","228","72","1"
"5314","41","9","38","12","34","16","39","11","39","11","32","18","223","77","1"
"5315","43","7","37","13","34","16","42","8","38","12","30","20","224","76","1"
"5316","38","12","37","13","32","18","40","10","37","13","28","22","212","88","1"
"5317","40","10","40","10","36","14","40","10","36","14","28","22","220","80","1"
"5318","42","8","36","14","34","16","43","7","34","16","31","19","220","80","1"
"5319","38","12","38","12","34","16","39","11","35","15","32","18","216","84","1"
"5320","40","10","40","10","34","16","38","12","38","12","30","20","220","80","1"
"5321","40","10","38","12","32","18","42","8","39","11","34","16","225","75","1"
"5322","39","11","38","12","36","14","43","7","34","16","33","17","223","77","1"
"5323","42","8","36","14","34","16","40","10","36","14","28","22","216","84","1"
"5324","42","8","36","14","36","14","42","8","38","12","28","22","222","78","1"
"5325","38","12","35","15","32","18","38","12","40","10","28","22","211","89","1"
"5326","38","12","38","12","34","16","42","8","34","16","32","18","218","82","1"
"5327","38","12","36","14","32","18","38","12","40","10","29","21","213","87","1"
"5328","38","12","35","15","34","16","41","9","40","10","33","17","221","79","1"
"5329","41","9","38","12","37","13","41","9","36","14","30","20","223","77","1"
"5330","42","8","40","10","35","15","40","10","40","10","31","19","228","72","1"
"5331","40","10","38","12","32","18","38","12","35","15","29","21","212","88","1"
"5332","39","11","40","10","32","18","44","6","34","16","30","20","219","81","1"
"5333","37","13","38","12","36","14","40","10","36","14","33","17","220","80","1"
"5334","38","12","36","14","32","18","38","12","40","10","34","16","218","82","1"
"5335","42","8","35","15","35","15","38","12","37","13","34","16","221","79","1"
"5336","42","8","41","9","33","17","38","12","39","11","30","20","223","77","1"
"5337","41","9","36","14","34","16","38","12","37","13","34","16","220","80","1"
"5338","40","10","40","10","36","14","42","8","39","11","34","16","231","69","1"
"5339","42","8","39","11","34","16","38","12","39","11","32","18","224","76","1"
"5340","40","10","40","10","32","18","41","9","35","15","30","20","218","82","1"
"5341","38","12","41","9","32","18","38","12","34","16","30","20","213","87","1"
"5342","39","11","41","9","33","17","38","12","38","12","34","16","223","77","1"
"5343","38","12","36","14","32","18","38","12","40","10","33","17","217","83","1"
"5344","37","13","38","12","32","18","41","9","35","15","30","20","213","87","1"
"5345","38","12","35","15","36","14","40","10","38","12","30","20","217","83","1"
"5346","42","8","36","14","34","16","40","10","39","11","30","20","221","79","1"
"5347","42","8","36","14","32","18","44","6","38","12","28","22","220","80","1"
"5348","40","10","38","12","37","13","38","12","39","11","31","19","223","77","1"
"5349","37","13","38","12","34","16","43","7","38","12","32","18","222","78","1"
"5350","38","12","39","11","32","18","38","12","34","16","30","20","211","89","1"
"5351","41","9","41","9","36","14","38","12","34","16","31","19","221","79","1"
"5352","41","9","37","13","34","16","40","10","40","10","30","20","222","78","1"
"5353","38","12","40","10","34","16","40","10","36","14","34","16","222","78","1"
"5354","38","12","35","15","36","14","38","12","40","10","30","20","217","83","1"
"5355","38","12","41","9","32","18","38","12","36","14","28","22","213","87","1"
"5356","42","8","35","15","35","15","42","8","35","15","33","17","222","78","1"
"5357","42","8","38","12","32","18","38","12","38","12","29","21","217","83","1"
"5358","38","12","41","9","36","14","42","8","34","16","29","21","220","80","1"
"5359","42","8","38","12","34","16","43","7","39","11","30","20","226","74","1"
"5360","42","8","38","12","37","13","43","7","34","16","30","20","224","76","1"
"5361","42","8","36","14","32","18","44","6","40","10","29","21","223","77","1"
"5362","40","10","40","10","35","15","42","8","38","12","30","20","225","75","1"
"5363","43","7","38","12","35","15","42","8","38","12","31","19","227","73","1"
"5364","40","10","35","15","32","18","38","12","38","12","31","19","214","86","1"
"5365","40","10","38","12","32","18","42","8","37","13","30","20","219","81","1"
"5366","38","12","38","12","33","17","42","8","35","15","32","18","218","82","1"
"5367","41","9","38","12","35","15","42","8","34","16","28","22","218","82","1"
"5368","37","13","38","12","36","14","44","6","40","10","32","18","227","73","1"
"5369","40","10","38","12","34","16","40","10","40","10","32","18","224","76","1"
"5370","43","7","40","10","34","16","44","6","37","13","32","18","230","70","1"
"5371","42","8","36","14","36","14","44","6","38","12","30","20","226","74","1"
"5372","43","7","38","12","36","14","44","6","36","14","34","16","231","69","1"
"5373","42","8","41","9","34","16","38","12","40","10","33","17","228","72","1"
"5374","38","12","36","14","35","15","43","7","38","12","32","18","222","78","1"
"5375","38","12","35","15","32","18","40","10","36","14","30","20","211","89","1"
"5376","37","13","40","10","32","18","44","6","38","12","28","22","219","81","1"
"5377","41","9","36","14","32","18","43","7","36","14","33","17","221","79","1"
"5378","39","11","36","14","34","16","43","7","40","10","34","16","226","74","1"
"5379","40","10","38","12","32","18","41","9","35","15","32","18","218","82","1"
"5380","38","12","36","14","34","16","42","8","36","14","34","16","220","80","1"
"5381","40","10","38","12","34","16","40","10","39","11","31","19","222","78","1"
"5382","40","10","40","10","37","13","40","10","37","13","32","18","226","74","1"
"5383","38","12","38","12","37","13","39","11","38","12","31","19","221","79","1"
"5384","38","12","37","13","34","16","44","6","37","13","31","19","221","79","1"
"5385","42","8","38","12","36","14","43","7","38","12","30","20","227","73","1"
"5386","40","10","40","10","32","18","38","12","36","14","28","22","214","86","1"
"5387","37","13","40","10","35","15","44","6","39","11","30","20","225","75","1"
"5388","40","10","36","14","35","15","44","6","36","14","28","22","219","81","1"
"5389","39","11","38","12","32","18","40","10","34","16","30","20","213","87","1"
"5390","40","10","40","10","36","14","41","9","38","12","29","21","224","76","1"
"5391","40","10","38","12","34","16","42","8","36","14","28","22","218","82","1"
"5392","40","10","36","14","35","15","40","10","35","15","32","18","218","82","1"
"5393","42","8","36","14","34","16","44","6","40","10","28","22","224","76","1"
